City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,cabo san lucas,22.8909,-109.9124,24.17,43,20,2.06,MX,1741058590
82,puerto ayora,-0.7393,-90.3518,25.86,97,100,1.41,EC,1741058673
83,maasin,10.1336,124.8447,27.32,77,99,2.0,PH,1741058675
84,katsuren-haebaru,26.3369,127.8719,23.43,79,75,1.54,JP,1741058676
85,hawaiian paradise park,19.5933,-154.9731,25.73,72,0,4.63,US,1741058677
86,tommot,58.9564,126.2925,-21.2,88,100,2.92,RU,1741058678
87,rudbar,30.15,62.6,6.42,19,0,1.81,AF,1741058679
88,kruisfontein,-34.0033,24.7314,22.17,72,100,3.18,ZA,1741058681
89,nimbahera,24.6167,74.6833,21.21,24,0,5.76,IN,1741058682
90,taltal,-25.4,-70.4833,19.01,80,11,0.93,CL,1741058683
91,puerto baquerizo moreno,-0.9,-89.6,26.42,81,99,3.02,EC,1741058684
92,tromso,69.6496,18.957,0.01,93,75,1.03,NO,1741058657
93,west island,-12.1568,96.8225,28.99,79,40,6.69,CC,1741058687
94,vilyuchinsk,52.9306,158.4028,0.15,76,91,4.7,RU,1741058688
95,susuman,62.7833,148.1667,-24.6,83,100,3.05,RU,1741058689
96,lethem,3.3803,-59.7968,27.31,64,35,5.5,GY,1741058690
97,isafjordur,66.0755,-23.124,-1.67,96,100,7.55,IS,1741058693
98,gao,16.6362,1.637,26.75,11,83,5.4,ML,1741058694
99,albany,42.6001,-73.9662,-5.12,71,29,1.25,US,1741058589
100,island harbour,50.724,-1.2758,1.52,83,1,1.73,GB,1741058696
101,kavieng,-2.5744,150.7967,29.02,72,65,5.09,PG,1741058698
102,puerto leguizamo,-0.1934,-74.7819,23.01,97,100,0.22,CO,1741058699
103,inarajan village,13.2736,144.7484,30.55,82,11,8.82,GU,1741058700
104,vorkuta,67.5,64.0,-10.1,97,100,2.7,RU,1741058701
105,brookings,44.3114,-96.7984,9.54,74,100,4.63,US,1741058702
106,vorgashor,67.5833,63.95,-10.02,97,100,2.9,RU,1741058704
107,niamey,13.5137,2.1098,27.16,24,7,2.06,NE,1741058705
108,kodiak,57.79,-152.4072,3.73,100,100,6.17,US,1741058706
109,nadym,65.5333,72.5167,-19.31,100,96,3.63,RU,1741058708
110,ouesso,1.6136,16.0517,22.04,91,72,1.02,CG,1741058709
111,barcelos,41.5388,-8.6151,9.67,83,96,2.61,PT,1741058710
112,valparaiso,-33.0393,-71.6273,19.15,72,0,1.54,CL,1741058695
113,hirara,24.8,125.2833,23.92,83,75,6.69,JP,1741058712
114,galesong,-5.3166,119.3661,28.96,72,98,1.43,ID,1741058714
115,rouissat,31.9243,5.3502,15.04,67,0,4.63,DZ,1741058715
116,edeia,-17.3383,-49.9314,21.49,78,96,1.61,BR,1741058716
117,newman,37.3138,-121.0208,11.7,68,75,0.45,US,1741058717
118,manokwari,-0.8667,134.0833,29.19,69,96,3.45,ID,1741058718
119,mount gambier,-37.8333,140.7667,31.49,9,0,1.49,AU,1741058720
120,belmonte,-15.8631,-38.8828,23.99,88,83,2.98,BR,1741058721
121,shimoda,34.6667,138.95,6.43,73,100,8.74,JP,1741058722
122,udachny,66.4167,112.4,-32.31,88,54,1.06,RU,1741058723
123,polyarnyy,69.1989,33.4478,-4.15,90,100,3.55,RU,1741058724
124,st. john's,47.5649,-52.7093,-4.69,76,75,2.57,CA,1741058516
125,otawara,36.8667,140.0333,4.03,52,96,2.05,JP,1741058727
126,nova xavantina,-14.6667,-52.35,22.96,91,100,1.11,BR,1741058728
127,longyearbyen,78.2186,15.6401,-8.09,67,20,8.23,SJ,1741058729
128,al jawf,29.5,38.75,15.63,14,100,4.61,SA,1741058730
129,codrington,-38.2667,141.9667,28.83,25,0,4.09,AU,1741058732
130,dudinka,69.4058,86.1778,-24.3,98,100,2.49,RU,1741058733
131,minas de marcona,-15.2119,-75.1103,18.03,82,31,5.11,PE,1741058734
132,hawera,-39.5917,174.2833,19.3,81,100,6.21,NZ,1741058735
133,kingston,17.997,-76.7936,25.53,78,20,2.57,JM,1741058736
134,drezna,55.7458,38.8497,-0.48,98,100,2.87,RU,1741058738
135,bredasdorp,-34.5322,20.0403,21.22,87,8,3.18,ZA,1741058739
136,nichinan,31.6,131.3667,12.66,94,100,4.86,JP,1741058740
137,plouzane,48.3833,-4.6167,4.03,100,0,3.6,FR,1741058741
138,rochford,51.582,0.7067,3.47,85,22,0.45,GB,1741058743
139,ola,59.5833,151.2833,-16.15,76,100,5.94,RU,1741058744
140,la passe,45.5549,-0.8967,7.77,80,88,3.13,FR,1741058745
141,yatou,37.15,122.3833,1.69,98,100,4.41,CN,1741058746
142,petropavlovsk-kamchatsky,53.0452,158.6483,-0.67,43,40,4.0,RU,1741058747
143,nuku'alofa,-21.1333,-175.2,29.19,79,40,6.69,TO,1741058749
144,hlusk,52.903,28.6845,3.49,78,74,7.52,BY,1741058750
145,argostolion,38.1811,20.489,8.19,60,16,4.61,GR,1741058751
146,pyhaselka,62.4333,29.9667,-1.8,91,84,4.44,FI,1741058752
147,jiangyou,31.7667,104.7167,10.82,79,100,1.33,CN,1741058753
148,conception bay south,47.4999,-52.9981,-4.82,77,100,4.28,CA,1741058755
149,rouyn-noranda,48.2398,-79.0288,-3.95,93,100,4.12,CA,1741058756
150,axim,4.8699,-2.2405,26.82,87,95,3.23,GH,1741058757
151,college,64.8569,-147.8028,-0.51,69,75,1.54,US,1741058758
152,el haouaria,37.05,11.0144,13.01,91,100,3.6,TN,1741058645
153,salaqi,40.5414,110.5108,-0.7,87,36,1.34,CN,1741058761
154,talnakh,69.4865,88.3972,-27.25,81,98,3.74,RU,1741058762
155,lagos,6.5833,3.75,27.14,88,99,2.69,NG,1741058640
156,puerto santa,-8.9906,-78.6456,23.96,81,100,3.68,PE,1741058764
157,cruzeiro do sul,-29.5128,-51.9853,28.07,93,0,0.65,BR,1741058765
158,yuzhno-kurilsk,44.0306,145.8556,-4.76,59,100,0.56,RU,1741058767
159,bilibino,68.0546,166.4372,-26.53,93,8,0.35,RU,1741058768
160,ebon,4.582,168.6964,28.04,70,27,8.58,MH,1741058769
161,kudat,6.8837,116.8477,29.96,84,20,2.57,MY,1741058770
162,ilulissat,69.2167,-51.1,-26.51,96,98,4.03,GL,1741058772
163,svay rieng,11.0879,105.7993,30.56,54,94,3.92,KH,1741058774
164,ust-nera,64.5667,143.2,-22.85,91,100,3.11,RU,1741058775
165,walvis bay,-22.9575,14.5053,16.53,100,68,3.09,NA,1741058597
166,hithadhoo,-0.6,73.0833,28.04,75,98,3.82,MV,1741058778
167,cocal,-28.6167,-49.35,22.04,87,0,1.01,BR,1741058779
168,anadyr,64.75,177.4833,-25.56,75,20,6.0,RU,1741058780
169,tazovsky,67.4667,78.7,-16.75,97,100,2.83,RU,1741058781
170,lihue,21.9789,-159.3672,25.77,65,40,6.69,US,1741058782
171,la condamine,43.7344,7.4202,13.01,39,24,3.11,MC,1741058784
172,port lincoln,-34.7333,135.8667,26.44,45,0,4.41,AU,1741058785
173,sisimiut,66.9395,-53.6735,-23.28,96,95,0.93,GL,1741058786
174,laguna,38.421,-121.4238,13.31,69,0,3.09,US,1741058787
175,rongelap,11.1635,166.8941,26.97,75,0,8.64,MH,1741058789
176,puerto deseado,-47.7503,-65.8938,16.49,38,36,7.93,AR,1741058790
177,derbent,42.0678,48.2899,3.65,68,99,7.59,RU,1741058791
178,minas de matahambre,22.5887,-83.9447,19.26,69,2,2.97,CU,1741058792
179,ryotsu-minato,38.0833,138.4333,3.35,61,99,6.64,JP,1741058795
180,klyuchi,52.2667,79.1667,-9.23,92,100,2.63,RU,1741058796
181,singaraja,-8.112,115.0882,29.65,71,75,2.11,ID,1741058797
182,cheremushki,52.8356,91.3944,-3.6,79,29,0.88,RU,1741058798
183,port-saint-louis-du-rhone,43.3833,4.8,6.13,75,0,3.09,FR,1741058801
184,cidreira,-30.1811,-50.2056,25.05,87,0,7.95,BR,1741058802
185,madang,-5.2246,145.7966,30.56,65,98,3.29,PG,1741058803
186,balkashino,52.5167,68.7667,-18.46,95,100,3.48,KZ,1741058806
187,tsuma,32.1,131.4,12.97,97,100,1.68,JP,1741058807
188,bamboo flat,11.7,92.7167,29.05,61,20,1.03,IN,1741058808
189,san patricio,28.017,-97.5169,22.97,85,36,8.23,US,1741058809
190,cerkezkoy,41.285,28.0003,-0.9,93,0,3.6,TR,1741058810
191,hohhot,40.8106,111.6522,-0.84,93,40,3.0,CN,1741058813
192,egilsstadir,65.2653,-14.3948,1.95,69,100,3.6,IS,1741058814
193,suharau,48.1333,26.4167,0.26,86,8,3.0,RO,1741058815
194,afaahiti,-17.75,-149.2833,26.71,76,79,1.43,PF,1741058816
195,broken hill,-31.95,141.4333,32.26,15,0,2.78,AU,1741058818
196,isoka,-10.1606,32.6335,16.03,97,99,0.7,ZM,1741058819
197,scarborough,54.2797,-0.4044,5.65,36,10,1.34,GB,1741058820
